Size,Binary Map,Hash Map,Size
50000,0.029513,0.012606,5
100000,0.04016,0.016615,10
150000,0.055673,0.019382,15
200000,0.07679,0.022776,20
250000,0.09605,0.025775,25
300000,0.116082,0.029019,30
350000,0.136322,0.031914,35
400000,0.157803,0.034744,40
450000,0.180653,0.037871,45
500000,0.202529,0.041022,50
550000,0.226213,0.043812,55
600000,0.247155,0.046911,60
650000,0.27031,0.05027,65
700000,0.295617,0.053181,70
750000,0.319638,0.056087,75
800000,0.344429,0.059046,80
850000,0.369474,0.062253,85
900000,0.39405,0.064756,90
950000,0.420146,0.068033,95
1000000,0.45006,0.071705,100
1050000,0.48946,0.074251,105
1100000,0.502779,0.07753,110
1150000,0.529162,0.080193,115
1200000,0.567409,0.083396,120
1250000,0.600662,0.086378,125
1300000,0.611553,0.088884,130
1350000,0.641271,0.09227,135
1400000,0.701234,0.095361,140
1450000,0.718872,0.098176,145
1500000,0.727333,0.101467,150
1550000,0.755988,0.105437,155
1600000,0.791657,0.107957,160
1650000,0.81672,0.112001,165
1700000,0.853444,0.113819,170
1750000,0.914659,0.116159,175
1800000,0.913854,0.119895,180
1850000,0.945195,0.12231,185
1900000,0.973716,0.126153,190
1950000,1.00466,0.128414,195
2000000,1.05567,0.1318,200
2050000,1.06816,0.135004,205
2100000,1.10214,0.137609,210
2150000,1.12497,0.140739,215
2200000,1.16414,0.143876,220
2250000,1.20092,0.146595,225
2300000,1.23336,0.150135,230
2350000,1.25781,0.155575,235
2400000,1.30006,0.157236,240
2450000,1.3521,0.159276,245
2500000,1.36529,0.163248,250
2550000,1.39417,0.168847,255
2600000,1.45936,0.167671,260
2650000,1.46836,0.171378,265
2700000,1.50351,0.174131,270
2750000,1.53307,0.181439,275
2800000,1.58456,0.184175,280
2850000,1.60618,0.18789,285
2900000,1.64263,0.1902,290
2950000,1.67739,0.19267,295
3000000,1.71194,0.192699,300
3050000,1.74877,0.195434,305
3100000,1.79994,0.202946,310
3150000,1.81448,0.205764,315
3200000,1.88755,0.209026,320
3250000,1.89422,0.207588,325
3300000,1.93575,0.212906,330
3350000,1.99071,0.218903,335
3400000,1.99959,0.222036,340
3450000,2.04494,0.224922,345
3500000,2.07397,0.228626,350
3550000,2.11641,0.231696,355
3600000,2.17784,0.234773,360
3650000,2.18975,0.238883,365
3700000,2.25447,0.239974,370
3750000,2.25826,0.244556,375
3800000,2.31498,0.246045,380
3850000,2.36131,0.252419,385
3900000,2.51503,0.253371,390
3950000,2.41116,0.25657,395
4000000,2.49722,0.259033,400
4050000,2.50471,0.262853,405
4100000,2.54647,0.266682,410
4150000,2.57057,0.267987,415
4200000,2.66189,0.271088,420
4250000,2.659,0.274267,425
4300000,2.7466,0.279251,430
4350000,2.78884,0.281512,435
4400000,2.79204,0.284085,440
4450000,2.80737,0.286841,445
4500000,2.90381,0.289926,450
4550000,2.87938,0.294832,455
4600000,2.965,0.295565,460
4650000,2.9989,0.29926,465
4700000,3.00399,0.304187,470